"id","slug","title","difficulty","content"
"2263","make-array-non-decreasing-or-non-increasing","Make Array Non-decreasing or Non-increasing","Hard","You are given a **0-indexed** integer array `nums`. In one operation, you can:_x000D_
_x000D_
*   Choose an index `i` in the range `0 <= i < nums.length`_x000D_
*   Set `nums[i]` to `nums[i] + 1` **or** `nums[i] - 1`_x000D_
_x000D_
Return _the **minimum** number of operations to make_ `nums` _**non-decreasing** or **non-increasing**.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[3,2,4,5,0\]_x000D_
**Output:** 4_x000D_
**Explanation:**_x000D_
One possible way to turn nums into non-increasing order is to:_x000D_
- Add 1 to nums\[1\] once so that it becomes 3._x000D_
- Subtract 1 from nums\[2\] once so it becomes 3._x000D_
- Subtract 1 from nums\[3\] twice so it becomes 3._x000D_
After doing the 4 operations, nums becomes \[3,3,3,3,0\] which is in non-increasing order._x000D_
Note that it is also possible to turn nums into \[4,4,4,4,0\] in 4 operations._x000D_
It can be proven that 4 is the minimum number of operations needed._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[2,2,3,4\]_x000D_
**Output:** 0_x000D_
**Explanation:** nums is already in non-decreasing order, so no operations are needed and we return 0._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** nums = \[0\]_x000D_
**Output:** 0_x000D_
**Explanation:** nums is already in non-decreasing order, so no operations are needed and we return 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= nums.length <= 1000`_x000D_
*   `0 <= nums[i] <= 1000`_x000D_
_x000D_
**Follow up:** Can you solve it in `O(n*log(n))` time complexity?"
"2264","largest-3-same-digit-number-in-string","Largest 3-Same-Digit Number in String","Easy","You are given a string `num` representing a large integer. An integer is **good** if it meets the following conditions:_x000D_
_x000D_
*   It is a **substring** of `num` with length `3`._x000D_
*   It consists of only one unique digit._x000D_
_x000D_
Return _the **maximum good** integer as a **string** or an empty string_ `"" ""` _if no such integer exists_._x000D_
_x000D_
Note:_x000D_
_x000D_
*   A **substring** is a contiguous sequence of characters within a string._x000D_
*   There may be **leading zeroes** in `num` or a good integer._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** num =  ""6**777**133339 ""_x000D_
**Output:**  ""777 ""_x000D_
**Explanation:** There are two distinct good integers:  ""777 "" and  ""333 ""._x000D_
 ""777 "" is the largest, so we return  ""777 ""._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** num =  ""23**000**19 ""_x000D_
**Output:**  ""000 ""_x000D_
**Explanation:**  ""000 "" is the only good integer._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** num =  ""42352338 ""_x000D_
**Output:**  "" ""_x000D_
**Explanation:** No substring of length 3 consists of only one unique digit. Therefore, there are no good integers._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `3 <= num.length <= 1000`_x000D_
*   `num` only consists of digits."
"2265","count-nodes-equal-to-average-of-subtree","Count Nodes Equal to Average of Subtree","Medium","Given the `root` of a binary tree, return _the number of nodes where the value of the node is equal to the **average** of the values in its **subtree**_._x000D_
_x000D_
**Note:**_x000D_
_x000D_
*   The **average** of `n` elements is the **sum** of the `n` elements divided by `n` and **rounded down** to the nearest integer._x000D_
*   A **subtree** of `root` is a tree consisting of `root` and all of its descendants._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** root = \[4,8,5,0,1,null,6\]_x000D_
**Output:** 5_x000D_
**Explanation:** _x000D_
For the node with value 4: The average of its subtree is (4 + 8 + 5 + 0 + 1 + 6) / 6 = 24 / 6 = 4._x000D_
For the node with value 5: The average of its subtree is (5 + 6) / 2 = 11 / 2 = 5._x000D_
For the node with value 0: The average of its subtree is 0 / 1 = 0._x000D_
For the node with value 1: The average of its subtree is 1 / 1 = 1._x000D_
For the node with value 6: The average of its subtree is 6 / 1 = 6._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** root = \[1\]_x000D_
**Output:** 1_x000D_
**Explanation:** For the node with value 1: The average of its subtree is 1 / 1 = 1._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   The number of nodes in the tree is in the range `[1, 1000]`._x000D_
*   `0 <= Node.val <= 1000`"
"2266","count-number-of-texts","Count Number of Texts","Medium","Alice is texting Bob using her phone. The **mapping** of digits to letters is shown in the figure below._x000D_
_x000D_
In order to **add** a letter, Alice has to **press** the key of the corresponding digit `i` times, where `i` is the position of the letter in the key._x000D_
_x000D_
*   For example, to add the letter `'s'`, Alice has to press `'7'` four times. Similarly, to add the letter `'k'`, Alice has to press `'5'` twice._x000D_
*   Note that the digits `'0'` and `'1'` do not map to any letters, so Alice **does not** use them._x000D_
_x000D_
However, due to an error in transmission, Bob did not receive Alice's text message but received a **string of pressed keys** instead._x000D_
_x000D_
*   For example, when Alice sent the message `""bob ""`, Bob received the string `""2266622 ""`._x000D_
_x000D_
Given a string `pressedKeys` representing the string received by Bob, return _the **total number of possible text messages** Alice could have sent_._x000D_
_x000D_
Since the answer may be very large, return it **modulo** `109 + 7`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** pressedKeys =  ""22233 ""_x000D_
**Output:** 8_x000D_
**Explanation:**_x000D_
The possible text messages Alice could have sent are:_x000D_
 ""aaadd "",  ""abdd "",  ""badd "",  ""cdd "",  ""aaae "",  ""abe "",  ""bae "", and  ""ce ""._x000D_
Since there are 8 possible messages, we return 8._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** pressedKeys =  ""222222222222222222222222222222222222 ""_x000D_
**Output:** 82876089_x000D_
**Explanation:**_x000D_
There are 2082876103 possible text messages Alice could have sent._x000D_
Since we need to return the answer modulo 109 + 7, we return 2082876103 % (109 + 7) = 82876089._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= pressedKeys.length <= 105`_x000D_
*   `pressedKeys` only consists of digits from `'2'` - `'9'`."
"2267","check-if-there-is-a-valid-parentheses-string-path"," Check if There Is a Valid Parentheses String Path","Hard","A parentheses string is a **non-empty** string consisting only of `'('` and `')'`. It is **valid** if **any** of the following conditions is **true**:_x000D_
_x000D_
*   It is `()`._x000D_
*   It can be written as `AB` (`A` concatenated with `B`), where `A` and `B` are valid parentheses strings._x000D_
*   It can be written as `(A)`, where `A` is a valid parentheses string._x000D_
_x000D_
You are given an `m x n` matrix of parentheses `grid`. A **valid parentheses string path** in the grid is a path satisfying **all** of the following conditions:_x000D_
_x000D_
*   The path starts from the upper left cell `(0, 0)`._x000D_
*   The path ends at the bottom-right cell `(m - 1, n - 1)`._x000D_
*   The path only ever moves **down** or **right**._x000D_
*   The resulting parentheses string formed by the path is **valid**._x000D_
_x000D_
Return `true` _if there exists a **valid parentheses string path** in the grid._ Otherwise, return `false`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** grid = \[\[ ""( "", ""( "", ""( ""\],\[ "") "", ""( "", "") ""\],\[ ""( "", ""( "", "") ""\],\[ ""( "", ""( "", "") ""\]\]_x000D_
**Output:** true_x000D_
**Explanation:** The above diagram shows two possible paths that form valid parentheses strings._x000D_
The first path shown results in the valid parentheses string  ""()(()) ""._x000D_
The second path shown results in the valid parentheses string  ""((())) ""._x000D_
Note that there may be other valid parentheses string paths._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** grid = \[\[ "") "", "") ""\],\[ ""( "", ""( ""\]\]_x000D_
**Output:** false_x000D_
**Explanation:** The two possible paths form the parentheses strings  ""))( "" and  "")(( "". Since neither of them are valid parentheses strings, we return false._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `m == grid.length`_x000D_
*   `n == grid[i].length`_x000D_
*   `1 <= m, n <= 100`_x000D_
*   `grid[i][j]` is either `'('` or `')'`."
"2268","minimum-number-of-keypresses","Minimum Number of Keypresses","Medium","You have a keypad with `9` buttons, numbered from `1` to `9`, each mapped to lowercase English letters. You can choose which characters each button is matched to as long as:_x000D_
_x000D_
*   All 26 lowercase English letters are mapped to._x000D_
*   Each character is mapped to by **exactly** `1` button._x000D_
*   Each button maps to **at most** `3` characters._x000D_
_x000D_
To type the first character matched to a button, you press the button once. To type the second character, you press the button twice, and so on._x000D_
_x000D_
Given a string `s`, return _the **minimum** number of keypresses needed to type_ `s` _using your keypad.__x000D_
_x000D_
**Note** that the characters mapped to by each button, and the order they are mapped in cannot be changed._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""apple ""_x000D_
**Output:** 5_x000D_
**Explanation:** One optimal way to setup your keypad is shown above._x000D_
Type 'a' by pressing button 1 once._x000D_
Type 'p' by pressing button 6 once._x000D_
Type 'p' by pressing button 6 once._x000D_
Type 'l' by pressing button 5 once._x000D_
Type 'e' by pressing button 3 once._x000D_
A total of 5 button presses are needed, so return 5._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""abcdefghijkl ""_x000D_
**Output:** 15_x000D_
**Explanation:** One optimal way to setup your keypad is shown above._x000D_
The letters 'a' to 'i' can each be typed by pressing a button once._x000D_
Type 'j' by pressing button 1 twice._x000D_
Type 'k' by pressing button 2 twice._x000D_
Type 'l' by pressing button 3 twice._x000D_
A total of 15 button presses are needed, so return 15._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 105`_x000D_
*   `s` consists of lowercase English letters."
"2269","find-the-k-beauty-of-a-number","Find the K-Beauty of a Number","Easy","The **k-beauty** of an integer `num` is defined as the number of **substrings** of `num` when it is read as a string that meet the following conditions:_x000D_
_x000D_
*   It has a length of `k`._x000D_
*   It is a divisor of `num`._x000D_
_x000D_
Given integers `num` and `k`, return _the k-beauty of_ `num`._x000D_
_x000D_
Note:_x000D_
_x000D_
*   **Leading zeros** are allowed._x000D_
*   `0` is not a divisor of any value._x000D_
_x000D_
A **substring** is a contiguous sequence of characters in a string._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** num = 240, k = 2_x000D_
**Output:** 2_x000D_
**Explanation:** The following are the substrings of num of length k:_x000D_
-  ""24 "" from  ""**24**0 "": 24 is a divisor of 240._x000D_
-  ""40 "" from  ""2**40** "": 40 is a divisor of 240._x000D_
Therefore, the k-beauty is 2._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** num = 430043, k = 2_x000D_
**Output:** 2_x000D_
**Explanation:** The following are the substrings of num of length k:_x000D_
-  ""43 "" from  ""**43**0043 "": 43 is a divisor of 430043._x000D_
-  ""30 "" from  ""4**30**043 "": 30 is not a divisor of 430043._x000D_
-  ""00 "" from  ""43**00**43 "": 0 is not a divisor of 430043._x000D_
-  ""04 "" from  ""430**04**3 "": 4 is not a divisor of 430043._x000D_
-  ""43 "" from  ""4300**43** "": 43 is a divisor of 430043._x000D_
Therefore, the k-beauty is 2._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= num <= 109`_x000D_
*   `1 <= k <= num.length` (taking `num` as a string)"
"2270","number-of-ways-to-split-array","Number of Ways to Split Array","Medium","You are given a **0-indexed** integer array `nums` of length `n`._x000D_
_x000D_
`nums` contains a **valid split** at index `i` if the following are true:_x000D_
_x000D_
*   The sum of the first `i + 1` elements is **greater than or equal to** the sum of the last `n - i - 1` elements._x000D_
*   There is **at least one** element to the right of `i`. That is, `0 <= i < n - 1`._x000D_
_x000D_
Return _the number of **valid splits** in_ `nums`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** nums = \[10,4,-8,7\]_x000D_
**Output:** 2_x000D_
**Explanation:** _x000D_
There are three ways of splitting nums into two non-empty parts:_x000D_
- Split nums at index 0. Then, the first part is \[10\], and its sum is 10. The second part is \[4,-8,7\], and its sum is 3. Since 10 >= 3, i = 0 is a valid split._x000D_
- Split nums at index 1. Then, the first part is \[10,4\], and its sum is 14. The second part is \[-8,7\], and its sum is -1. Since 14 >= -1, i = 1 is a valid split._x000D_
- Split nums at index 2. Then, the first part is \[10,4,-8\], and its sum is 6. The second part is \[7\], and its sum is 7. Since 6 < 7, i = 2 is not a valid split._x000D_
Thus, the number of valid splits in nums is 2._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** nums = \[2,3,1,0\]_x000D_
**Output:** 2_x000D_
**Explanation:** _x000D_
There are two valid splits in nums:_x000D_
- Split nums at index 1. Then, the first part is \[2,3\], and its sum is 5. The second part is \[1,0\], and its sum is 1. Since 5 >= 1, i = 1 is a valid split. _x000D_
- Split nums at index 2. Then, the first part is \[2,3,1\], and its sum is 6. The second part is \[0\], and its sum is 0. Since 6 >= 0, i = 2 is a valid split._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `2 <= nums.length <= 105`_x000D_
*   `-105 <= nums[i] <= 105`"
"2271","maximum-white-tiles-covered-by-a-carpet","Maximum White Tiles Covered by a Carpet","Medium","You are given a 2D integer array `tiles` where `tiles[i] = [li, ri]` represents that every tile `j` in the range `li <= j <= ri` is colored white._x000D_
_x000D_
You are also given an integer `carpetLen`, the length of a single carpet that can be placed **anywhere**._x000D_
_x000D_
Return _the **maximum** number of white tiles that can be covered by the carpet_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** tiles = \[\[1,5\],\[10,11\],\[12,18\],\[20,25\],\[30,32\]\], carpetLen = 10_x000D_
**Output:** 9_x000D_
**Explanation:** Place the carpet starting on tile 10. _x000D_
It covers 9 white tiles, so we return 9._x000D_
Note that there may be other places where the carpet covers 9 white tiles._x000D_
It can be shown that the carpet cannot cover more than 9 white tiles._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** tiles = \[\[10,11\],\[1,1\]\], carpetLen = 2_x000D_
**Output:** 2_x000D_
**Explanation:** Place the carpet starting on tile 10. _x000D_
It covers 2 white tiles, so we return 2._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= tiles.length <= 5 * 104`_x000D_
*   `tiles[i].length == 2`_x000D_
*   `1 <= li <= ri <= 109`_x000D_
*   `1 <= carpetLen <= 109`_x000D_
*   The `tiles` are **non-overlapping**."
"2272","substring-with-largest-variance","Substring With Largest Variance","Hard","The **variance** of a string is defined as the largest difference between the number of occurrences of **any** `2` characters present in the string. Note the two characters may or may not be the same._x000D_
_x000D_
Given a string `s` consisting of lowercase English letters only, return _the **largest variance** possible among all **substrings** of_ `s`._x000D_
_x000D_
A **substring** is a contiguous sequence of characters within a string._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""aababbb ""_x000D_
**Output:** 3_x000D_
**Explanation:**_x000D_
All possible variances along with their respective substrings are listed below:_x000D_
- Variance 0 for substrings  ""a "",  ""aa "",  ""ab "",  ""abab "",  ""aababb "",  ""ba "",  ""b "",  ""bb "", and  ""bbb ""._x000D_
- Variance 1 for substrings  ""aab "",  ""aba "",  ""abb "",  ""aabab "",  ""ababb "",  ""aababbb "", and  ""bab ""._x000D_
- Variance 2 for substrings  ""aaba "",  ""ababbb "",  ""abbb "", and  ""babb ""._x000D_
- Variance 3 for substring  ""babbb ""._x000D_
Since the largest possible variance is 3, we return it._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""abcde ""_x000D_
**Output:** 0_x000D_
**Explanation:**_x000D_
No letter occurs more than once in s, so the variance of every substring is 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 104`_x000D_
*   `s` consists of lowercase English letters."
"2273","find-resultant-array-after-removing-anagrams","Find Resultant Array After Removing Anagrams","Easy","You are given a **0-indexed** string array `words`, where `words[i]` consists of lowercase English letters._x000D_
_x000D_
In one operation, select any index `i` such that `0 < i < words.length` and `words[i - 1]` and `words[i]` are **anagrams**, and **delete** `words[i]` from `words`. Keep performing this operation as long as you can select an index that satisfies the conditions._x000D_
_x000D_
Return `words` _after performing all operations_. It can be shown that selecting the indices for each operation in **any** arbitrary order will lead to the same result._x000D_
_x000D_
An **Anagram** is a word or phrase formed by rearranging the letters of a different word or phrase using all the original letters exactly once. For example, `""dacb ""` is an anagram of `""abdc ""`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** words = \[ ""abba "", ""baba "", ""bbaa "", ""cd "", ""cd ""\]_x000D_
**Output:** \[ ""abba "", ""cd ""\]_x000D_
**Explanation:**_x000D_
One of the ways we can obtain the resultant array is by using the following operations:_x000D_
- Since words\[2\] =  ""bbaa "" and words\[1\] =  ""baba "" are anagrams, we choose index 2 and delete words\[2\]._x000D_
  Now words = \[ ""abba "", ""baba "", ""cd "", ""cd ""\]._x000D_
- Since words\[1\] =  ""baba "" and words\[0\] =  ""abba "" are anagrams, we choose index 1 and delete words\[1\]._x000D_
  Now words = \[ ""abba "", ""cd "", ""cd ""\]._x000D_
- Since words\[2\] =  ""cd "" and words\[1\] =  ""cd "" are anagrams, we choose index 2 and delete words\[2\]._x000D_
  Now words = \[ ""abba "", ""cd ""\]._x000D_
We can no longer perform any operations, so \[ ""abba "", ""cd ""\] is the final answer._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** words = \[ ""a "", ""b "", ""c "", ""d "", ""e ""\]_x000D_
**Output:** \[ ""a "", ""b "", ""c "", ""d "", ""e ""\]_x000D_
**Explanation:**_x000D_
No two adjacent strings in words are anagrams of each other, so no operations are performed._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= words.length <= 100`_x000D_
*   `1 <= words[i].length <= 10`_x000D_
*   `words[i]` consists of lowercase English letters."
"2274","maximum-consecutive-floors-without-special-floors","Maximum Consecutive Floors Without Special Floors","Medium","Alice manages a company and has rented some floors of a building as office space. Alice has decided some of these floors should be **special floors**, used for relaxation only._x000D_
_x000D_
You are given two integers `bottom` and `top`, which denote that Alice has rented all the floors from `bottom` to `top` (**inclusive**). You are also given the integer array `special`, where `special[i]` denotes a special floor that Alice has designated for relaxation._x000D_
_x000D_
Return _the **maximum** number of consecutive floors without a special floor_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** bottom = 2, top = 9, special = \[4,6\]_x000D_
**Output:** 3_x000D_
**Explanation:** The following are the ranges (inclusive) of consecutive floors without a special floor:_x000D_
- (2, 3) with a total amount of 2 floors._x000D_
- (5, 5) with a total amount of 1 floor._x000D_
- (7, 9) with a total amount of 3 floors._x000D_
Therefore, we return the maximum number which is 3 floors._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** bottom = 6, top = 8, special = \[7,6,8\]_x000D_
**Output:** 0_x000D_
**Explanation:** Every floor rented is a special floor, so we return 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= special.length <= 105`_x000D_
*   `1 <= bottom <= special[i] <= top <= 109`_x000D_
*   All the values of `special` are **unique**."
"2275","largest-combination-with-bitwise-and-greater-than-zero","Largest Combination With Bitwise AND Greater Than Zero","Medium","The **bitwise AND** of an array `nums` is the bitwise AND of all integers in `nums`._x000D_
_x000D_
*   For example, for `nums = [1, 5, 3]`, the bitwise AND is equal to `1 & 5 & 3 = 1`._x000D_
*   Also, for `nums = [7]`, the bitwise AND is `7`._x000D_
_x000D_
You are given an array of positive integers `candidates`. Evaluate the **bitwise AND** of every **combination** of numbers of `candidates`. Each number in `candidates` may only be used **once** in each combination._x000D_
_x000D_
Return _the size of the **largest** combination of_ `candidates` _with a bitwise AND **greater** than_ `0`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** candidates = \[16,17,71,62,12,24,14\]_x000D_
**Output:** 4_x000D_
**Explanation:** The combination \[16,17,62,24\] has a bitwise AND of 16 & 17 & 62 & 24 = 16 > 0._x000D_
The size of the combination is 4._x000D_
It can be shown that no combination with a size greater than 4 has a bitwise AND greater than 0._x000D_
Note that more than one combination may have the largest size._x000D_
For example, the combination \[62,12,24,14\] has a bitwise AND of 62 & 12 & 24 & 14 = 8 > 0._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** candidates = \[8,8\]_x000D_
**Output:** 2_x000D_
**Explanation:** The largest combination \[8,8\] has a bitwise AND of 8 & 8 = 8 > 0._x000D_
The size of the combination is 2, so we return 2._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= candidates.length <= 105`_x000D_
*   `1 <= candidates[i] <= 107`"
"2276","count-integers-in-intervals","Count Integers in Intervals","Hard","Given an **empty** set of intervals, implement a data structure that can:_x000D_
_x000D_
*   **Add** an interval to the set of intervals._x000D_
*   **Count** the number of integers that are present in **at least one** interval._x000D_
_x000D_
Implement the `CountIntervals` class:_x000D_
_x000D_
*   `CountIntervals()` Initializes the object with an empty set of intervals._x000D_
*   `void add(int left, int right)` Adds the interval `[left, right]` to the set of intervals._x000D_
*   `int count()` Returns the number of integers that are present in **at least one** interval._x000D_
_x000D_
**Note** that an interval `[left, right]` denotes all the integers `x` where `left <= x <= right`._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input**_x000D_
\[ ""CountIntervals "",  ""add "",  ""add "",  ""count "",  ""add "",  ""count ""\]_x000D_
\[\[\], \[2, 3\], \[7, 10\], \[\], \[5, 8\], \[\]\]_x000D_
**Output**_x000D_
\[null, null, null, 6, null, 8\]_x000D_
_x000D_
**Explanation**_x000D_
CountIntervals countIntervals = new CountIntervals(); // initialize the object with an empty set of intervals. _x000D_
countIntervals.add(2, 3);  // add \[2, 3\] to the set of intervals._x000D_
countIntervals.add(7, 10); // add \[7, 10\] to the set of intervals._x000D_
countIntervals.count();    // return 6_x000D_
                           // the integers 2 and 3 are present in the interval \[2, 3\]._x000D_
                           // the integers 7, 8, 9, and 10 are present in the interval \[7, 10\]._x000D_
countIntervals.add(5, 8);  // add \[5, 8\] to the set of intervals._x000D_
countIntervals.count();    // return 8_x000D_
                           // the integers 2 and 3 are present in the interval \[2, 3\]._x000D_
                           // the integers 5 and 6 are present in the interval \[5, 8\]._x000D_
                           // the integers 7 and 8 are present in the intervals \[5, 8\] and \[7, 10\]._x000D_
                           // the integers 9 and 10 are present in the interval \[7, 10\]._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= left <= right <= 109`_x000D_
*   At most `105` calls **in total** will be made to `add` and `count`._x000D_
*   At least **one** call will be made to `count`."
"2277","closest-node-to-path-in-tree","Closest Node to Path in Tree","Hard","You are given a positive integer `n` representing the number of nodes in a tree, numbered from `0` to `n - 1` (**inclusive**). You are also given a 2D integer array `edges` of length `n - 1`, where `edges[i] = [node1i, node2i]` denotes that there is a **bidirectional** edge connecting `node1i` and `node2i` in the tree._x000D_
_x000D_
You are given a **0-indexed** integer array `query` of length `m` where `query[i] = [starti, endi, nodei]` means that for the `ith` query, you are tasked with finding the node on the path from `starti` to `endi` that is **closest** to `nodei`._x000D_
_x000D_
Return _an integer array_ `answer` _of length_ `m`_, where_ `answer[i]` _is the answer to the_ `ith` _query_._x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** n = 7, edges = \[\[0,1\],\[0,2\],\[0,3\],\[1,4\],\[2,5\],\[2,6\]\], query = \[\[5,3,4\],\[5,3,6\]\]_x000D_
**Output:** \[0,2\]_x000D_
**Explanation:**_x000D_
The path from node 5 to node 3 consists of the nodes 5, 2, 0, and 3._x000D_
The distance between node 4 and node 0 is 2._x000D_
Node 0 is the node on the path closest to node 4, so the answer to the first query is 0._x000D_
The distance between node 6 and node 2 is 1._x000D_
Node 2 is the node on the path closest to node 6, so the answer to the second query is 2._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** n = 3, edges = \[\[0,1\],\[1,2\]\], query = \[\[0,1,2\]\]_x000D_
**Output:** \[1\]_x000D_
**Explanation:**_x000D_
The path from node 0 to node 1 consists of the nodes 0, 1._x000D_
The distance between node 2 and node 1 is 1._x000D_
Node 1 is the node on the path closest to node 2, so the answer to the first query is 1._x000D_
_x000D_
**Example 3:**_x000D_
_x000D_
**Input:** n = 3, edges = \[\[0,1\],\[1,2\]\], query = \[\[0,0,0\]\]_x000D_
**Output:** \[0\]_x000D_
**Explanation:**_x000D_
The path from node 0 to node 0 consists of the node 0._x000D_
Since 0 is the only node on the path, the answer to the first query is 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= n <= 1000`_x000D_
*   `edges.length == n - 1`_x000D_
*   `edges[i].length == 2`_x000D_
*   `0 <= node1i, node2i <= n - 1`_x000D_
*   `node1i != node2i`_x000D_
*   `1 <= query.length <= 1000`_x000D_
*   `query[i].length == 3`_x000D_
*   `0 <= starti, endi, nodei <= n - 1`_x000D_
*   The graph is a tree."
"2278","percentage-of-letter-in-string","Percentage of Letter in String","Easy","Given a string `s` and a character `letter`, return _the **percentage** of characters in_ `s` _that equal_ `letter` _**rounded down** to the nearest whole percent.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** s =  ""foobar "", letter =  ""o ""_x000D_
**Output:** 33_x000D_
**Explanation:**_x000D_
The percentage of characters in s that equal the letter 'o' is 2 / 6 \* 100% = 33% when rounded down, so we return 33._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** s =  ""jjjj "", letter =  ""k ""_x000D_
**Output:** 0_x000D_
**Explanation:**_x000D_
The percentage of characters in s that equal the letter 'k' is 0%, so we return 0._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `1 <= s.length <= 100`_x000D_
*   `s` consists of lowercase English letters._x000D_
*   `letter` is a lowercase English letter."
"2279","maximum-bags-with-full-capacity-of-rocks","Maximum Bags With Full Capacity of Rocks","Medium","You have `n` bags numbered from `0` to `n - 1`. You are given two **0-indexed** integer arrays `capacity` and `rocks`. The `ith` bag can hold a maximum of `capacity[i]` rocks and currently contains `rocks[i]` rocks. You are also given an integer `additionalRocks`, the number of additional rocks you can place in **any** of the bags._x000D_
_x000D_
Return _the **maximum** number of bags that could have full capacity after placing the additional rocks in some bags.__x000D_
_x000D_
**Example 1:**_x000D_
_x000D_
**Input:** capacity = \[2,3,4,5\], rocks = \[1,2,4,4\], additionalRocks = 2_x000D_
**Output:** 3_x000D_
**Explanation:**_x000D_
Place 1 rock in bag 0 and 1 rock in bag 1._x000D_
The number of rocks in each bag are now \[2,3,4,4\]._x000D_
Bags 0, 1, and 2 have full capacity._x000D_
There are 3 bags at full capacity, so we return 3._x000D_
It can be shown that it is not possible to have more than 3 bags at full capacity._x000D_
Note that there may be other ways of placing the rocks that result in an answer of 3._x000D_
_x000D_
**Example 2:**_x000D_
_x000D_
**Input:** capacity = \[10,2,2\], rocks = \[2,2,0\], additionalRocks = 100_x000D_
**Output:** 3_x000D_
**Explanation:**_x000D_
Place 8 rocks in bag 0 and 2 rocks in bag 2._x000D_
The number of rocks in each bag are now \[10,2,2\]._x000D_
Bags 0, 1, and 2 have full capacity._x000D_
There are 3 bags at full capacity, so we return 3._x000D_
It can be shown that it is not possible to have more than 3 bags at full capacity._x000D_
Note that we did not use all of the additional rocks._x000D_
_x000D_
**Constraints:**_x000D_
_x000D_
*   `n == capacity.length == rocks.length`_x000D_
*   `1 <= n <= 5 * 104`_x000D_
*   `1 <= capacity[i] <= 109`_x000D_
*   `0 <= rocks[i] <= capacity[i]`_x000D_
*   `1 <= additionalRocks <= 109`"
